EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
206268299,3,206268299.01,2.643,0.240,2.760,0.325,19.5659510,0.0011685,0.14267,0.00429,56.587,5.457,36.764,0.391
206317286,3,206317286.01,2.766,0.280,2.089,0.253,17.5154720,0.0027559,0.11840,0.00307,20.056,1.868,109.633,0.268
206344313,3,206344313.01,5.356,0.315,3.133,0.208,5.2312850,0.0005567,0.04958,0.00060,31.393,2.139,347.693,0.568
206468053,3,206468053.01,8.195,0.952,5.432,0.647,27.8371460,0.0057852,0.15582,0.00191,5.062,0.394,677.380,0.170
206473982,3,206473982.01,1.849,0.152,1.818,0.203,20.0770480,0.0044377,0.14361,0.00403,49.897,4.696,53.973,0.400
210363145,4,210363145.01,3.069,0.321,2.372,0.265,8.2000910,0.0005827,0.07161,0.00198,55.982,5.852,105.359,0.394
210394706,4,210394706.01,3.047,0.181,1.838,0.130,15.0842340,0.0021422,0.10046,0.00110,8.317,0.399,118.957,0.666
210403955,4,210403955.01,1.728,0.160,1.526,0.173,5.6057380,0.0004001,0.05701,0.00173,124.353,14.242,70.697,0.214
210403955,4,210403955.02,2.331,0.245,2.029,0.270,19.0946560,0.0041819,0.12980,0.00335,23.305,1.932,70.697,0.193
210423938,4,210423938.01,2.565,0.274,1.786,0.228,19.8622640,0.0032401,0.12358,0.00332,11.521,0.979,91.396,0.457
210448987,4,210448987.01,3.035,0.334,2.324,0.285,6.1023260,0.0003598,0.05674,0.00143,57.118,4.490,101.216,0.375
210495066,4,210495066.01,2.723,0.149,1.297,0.077,3.7422250,0.0002757,0.03716,0.00039,27.600,1.386,221.554,0.175
210508766,4,210508766.01,3.008,0.154,1.656,0.102,2.7472620,0.0001725,0.03167,0.00034,61.841,2.741,136.539,0.316
210508766,4,210508766.02,3.668,0.145,1.995,0.089,9.9964340,0.0004942,0.07503,0.00092,11.072,0.562,136.539,0.287
210550063,4,210550063.01,2.284,0.098,2.862,0.243,2.1660470,0.0002429,0.03320,0.00077,1158.242,118.847,248.069,0.794
210577548,4,210577548.01,2.807,0.276,2.540,0.292,6.4220920,0.0004070,0.06236,0.00174,101.443,11.878,55.148,0.279
210577548,4,210577548.02,2.428,0.240,2.207,0.264,27.8513450,0.0036194,0.16631,0.00464,14.342,1.417,55.148,0.262
210678858,4,210678858.01,3.134,0.106,2.509,0.193,14.8489830,0.0012708,0.10837,0.00268,28.906,3.020,95.463,0.190
210696763,4,210696763.01,3.629,0.223,1.184,0.082,3.6500670,0.0002995,0.03121,0.00033,11.816,0.433,278.498,0.180
210696763,4,210696763.02,4.052,0.262,1.324,0.096,5.7685290,0.0002920,0.04236,0.00043,6.329,0.244,278.498,0.140
210750726,4,210750726.01,5.124,0.250,2.270,0.132,4.6123880,0.0000912,0.04123,0.00043,16.634,0.627,111.294,0.808
210783290,4,210783290.01,2.893,0.211,1.447,0.106,24.1433710,0.0042154,0.13116,0.00146,2.653,0.131,110.289,0.665
210797580,13,210797580.01,3.301,0.405,3.077,0.408,2.1408400,0.0000359,0.03109,0.00086,691.148,65.360,75.992,0.941
210822575,4,210822575.01,1.462,0.136,1.203,0.127,8.9361800,0.0045646,0.07715,0.00229,62.406,6.503,60.582,0.278
210852232,4,210852232.01,1.531,0.068,1.445,0.106,1.9342950,0.0001407,0.02831,0.00077,565.328,57.349,54.009,0.496
210945680,4,210945680.01,2.052,0.085,2.243,0.184,20.6006560,0.0048285,0.14740,0.00412,53.772,5.619,31.721,0.690
210957318,4,210957318.01,15.264,1.328,15.852,1.907,4.0984420,0.0000106,0.04703,0.00121,225.856,20.075,60.478,0.820
210965800,4,210965800.01,3.941,0.296,3.831,0.360,8.7480500,0.0007163,0.07860,0.00228,90.390,8.367,267.926,0.322
211048999,4,211048999.01,3.134,0.149,2.341,0.208,5.1723900,0.0002049,0.05245,0.00146,92.493,8.309,77.446,0.654
211321953,18,211321953.01,2.991,0.326,3.027,0.411,22.1943460,0.0066599,0.15288,0.00465,40.590,3.889,149.911,0.568
211331236,18,211331236.01,3.683,0.162,1.839,0.108,1.2915680,0.0000317,0.01867,0.00022,132.421,6.159,180.739,0.232
211331236,18,211331236.02,3.875,0.204,1.943,0.122,5.4463990,0.0008837,0.04872,0.00054,19.273,0.955,180.739,0.241
211355342,5,211355342.01,2.849,0.235,2.949,0.338,6.8948320,0.0003584,0.07021,0.00207,188.356,18.083,62.304,0.769
211383821,5,211383821.01,2.014,0.210,1.268,0.139,1.5670250,0.0001133,0.02573,0.00287,191.513,50.507,124.564,0.258
211383821,18,211383821.01,2.036,0.200,1.300,0.150,1.5672790,0.0001942,0.02510,0.00364,203.613,98.845,142.396,0.225
211391664,5,211391664.01,3.309,0.117,4.963,0.374,10.1351860,0.0004428,0.09935,0.00227,304.455,26.749,41.647,0.457
211393988,18,211393988.01,8.350,0.939,15.218,2.161,4.8719020,0.0001248,0.06331,0.00185,1263.797,156.936,139.977,0.727
211399359,18,211399359.01,17.446,1.626,12.853,1.466,3.1148620,0.0000210,0.03782,0.00104,201.176,16.916,238.418,0.648
211399359,5,211399359.01,17.432,1.831,12.949,1.642,3.1149050,0.0000092,0.03758,0.00100,205.197,18.621,223.740,0.666
211401787,5,211401787.01,1.944,0.149,2.702,0.271,13.7735250,0.0011540,0.12170,0.00308,186.959,21.549,22.657,0.581
211408558,18,211408558.01,1.936,0.090,1.989,0.179,9.9676890,0.0060060,0.09083,0.00271,133.329,13.293,90.370,0.079
