EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
248616368,14,248616368.01,4.952,0.200,2.612,0.125,24.9653600,0.0013756,0.13577,0.00156,2.624,0.124,148.568,0.048
248618546,14,248618546.01,16.564,1.696,10.612,1.068,1.4463150,0.0000043,0.02147,0.00023,227.609,12.641,1051.172,0.029
248621597,14,248621597.01,2.067,0.231,2.430,0.324,17.2747400,0.0030640,0.13246,0.00340,76.302,8.244,65.531,0.468
248650566,14,248650566.01,3.186,0.355,2.852,0.408,9.8285420,0.0018016,0.08373,0.00225,66.708,6.775,88.326,0.585
248740016,14,248740016.01,2.460,0.221,2.505,0.289,14.3907210,0.0011306,0.11537,0.00300,82.224,8.395,71.963,0.501
248740571,14,248740571.01,3.106,0.316,2.258,0.295,9.0322480,0.0010014,0.07640,0.00179,51.633,4.832,149.961,0.246
248740571,14,248740571.02,3.348,0.323,2.437,0.313,16.1001780,0.0023763,0.11317,0.00296,23.801,2.036,149.961,0.237
248758353,14,248758353.01,6.022,0.553,5.304,0.623,33.5899790,0.0006923,0.19326,0.00481,15.774,1.729,48.364,0.723
248779118,14,248779118.01,2.894,0.258,3.176,0.372,5.7772160,0.0000907,0.06247,0.00160,258.022,20.866,57.880,0.625
248861279,14,248861279.01,4.610,0.215,2.443,0.136,13.1153650,0.0005611,0.08923,0.00102,7.266,0.384,75.483,0.481
248865761,14,248865761.01,1.819,0.184,2.100,0.260,13.0710410,0.0021559,0.11172,0.00289,121.383,11.820,66.074,0.305
248874928,14,248874928.01,4.967,0.502,3.723,0.443,3.4354530,0.0000389,0.04028,0.00109,181.937,18.035,100.678,0.251
249217834,15,249217834.01,2.415,0.236,2.353,0.285,6.6956870,0.0004439,0.06391,0.00169,99.355,9.377,136.312,0.245
249217834,15,249217834.02,2.758,0.239,2.679,0.299,27.9172360,0.0026785,0.16660,0.00438,14.179,1.296,136.312,0.333
249223471,15,249223471.01,4.778,0.380,4.642,0.484,22.5494060,0.0013500,0.15335,0.00365,37.348,3.240,97.548,0.544
249338836,15,249338836.01,1.639,0.101,3.352,0.327,2.6925940,0.0002788,0.04324,0.00116,3019.436,337.837,102.341,0.173
249344978,15,249344978.01,4.120,0.310,2.109,0.164,9.6848960,0.0010520,0.07128,0.00064,8.602,0.447,292.068,0.650
249373875,15,249373875.01,1.652,0.139,2.264,0.260,7.5221090,0.0007149,0.07927,0.00218,338.612,36.888,73.975,0.533
249378363,15,249378363.01,8.268,0.651,12.907,1.527,14.8686120,0.0002017,0.12966,0.00344,195.563,18.369,128.931,0.833
249384674,15,249384674.01,3.390,0.230,1.183,0.090,1.1334460,0.0000512,0.01479,0.00017,65.574,2.601,310.060,0.549
249384674,15,249384674.02,5.217,0.344,1.820,0.118,5.2676290,0.0003336,0.04130,0.00040,8.464,0.297,310.060,0.752
249401470,15,249401470.01,5.387,0.923,6.505,1.262,8.9132970,0.0001946,0.08362,0.00236,135.791,14.812,90.932,0.974
249401939,15,249401939.01,3.657,0.340,3.181,0.355,18.7860430,0.0010398,0.12548,0.00348,19.362,1.939,74.311,0.566
249403651,15,249403651.01,1.379,0.120,1.336,0.173,4.9419070,0.0006190,0.05449,0.00136,208.639,18.901,46.077,0.309
249403651,15,249403651.02,1.490,0.133,1.437,0.167,9.2245300,0.0012906,0.08257,0.00202,92.439,8.948,46.077,0.259
249418609,15,249418609.01,1.561,0.159,1.777,0.217,15.3206060,0.0023292,0.12051,0.00314,73.438,6.079,44.593,0.565
249421240,15,249421240.01,2.894,0.222,4.180,0.434,17.9217020,0.0010051,0.14190,0.00413,110.007,12.130,208.610,0.156
249476992,15,249476992.01,2.290,0.199,2.000,0.216,7.9436040,0.0005095,0.07370,0.00179,102.986,10.467,84.984,0.305
249485205,15,249485205.01,7.095,0.767,4.744,0.519,15.8126420,0.0005655,0.10558,0.00111,9.122,0.515,380.505,0.249
249559552,15,249559552.01,3.176,0.327,2.394,0.323,7.8153660,0.0001640,0.06904,0.00169,59.275,4.901,101.566,0.280
249559552,15,249559552.02,3.099,0.312,2.352,0.294,19.5208050,0.0011451,0.12717,0.00305,17.180,1.651,101.566,0.234
249599275,15,249599275.01,3.366,0.317,2.268,0.299,11.2923100,0.0012876,0.08565,0.00229,24.294,2.474,164.743,0.303
249649721,15,249649721.01,3.233,0.358,2.505,0.327,24.4812850,0.0021976,0.14722,0.00419,11.809,1.034,85.517,0.396
249703125,15,249703125.01,3.007,0.281,2.673,0.290,10.3073870,0.0001891,0.08725,0.00260,70.265,6.694,95.711,0.255
249828900,15,249828900.01,2.981,0.371,1.987,0.250,18.2773580,0.0030888,0.11700,0.00126,8.856,0.485,172.578,0.342
249865296,15,249865296.01,4.578,0.477,6.125,0.738,28.8885890,0.0015263,0.19114,0.00553,48.010,5.761,39.346,0.426
249883770,15,249883770.01,2.014,0.221,1.387,0.179,2.2281120,0.0001806,0.03142,0.00460,152.829,79.273,118.955,0.301
249901311,15,249901311.01,3.651,0.173,1.398,0.077,0.8018640,0.0000213,0.01217,0.00013,119.131,5.319,281.631,0.311
249924395,15,249924395.01,1.997,0.176,2.479,0.264,1.9080840,0.0000550,0.03047,0.00074,1282.370,128.328,67.101,0.418
250106132,15,250106132.01,3.827,0.393,3.819,0.467,22.1223650,0.0013996,0.14876,0.00415,30.954,2.766,49.100,0.559
250143219,15,250143219.01,3.474,0.335,2.971,0.406,12.0995020,0.0003427,0.09532,0.00262,43.637,4.366,102.037,0.452
251304634,16,251304634.01,1.643,0.200,1.129,0.153,4.3925030,0.0002623,0.04577,0.00140,85.211,7.521,62.944,0.551
251319382,16,251319382.01,2.110,0.166,1.939,0.190,8.2368270,0.0006235,0.07831,0.00213,138.905,12.166,49.953,0.228
251319382,16,251319382.02,2.422,0.178,2.280,0.237,14.8699650,0.0009119,0.11604,0.00326,63.230,6.010,49.953,0.282
251399501,16,251399501.01,2.388,0.105,2.645,0.234,11.6349880,0.0010805,0.10262,0.00253,133.350,12.463,74.323,0.351
251543969,17,251543969.01,5.929,0.629,9.941,1.252,21.8054280,0.0037647,0.17140,0.00475,160.752,13.344,414.389,0.422
251554286,17,251554286.01,5.508,0.455,5.302,0.593,15.4671370,0.0010154,0.11868,0.00313,57.233,5.296,88.791,0.807
251584580,17,251584580.01,3.798,0.496,2.690,0.398,10.9731350,0.0015723,0.08590,0.00225,34.416,3.345,220.648,0.426
251626487,17,251626487.01,7.118,0.628,7.172,0.836,26.3393780,0.0074550,0.17313,0.00468,33.697,3.633,811.897,0.254
