KIC,KOI,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
3340165,4972.01,1.115,0.080,1.564,0.150,26.092284000,0.000457000,0.18261,0.00518,68.8556,6.9697,85.331,0.06267
3342794,2278.02,0.900,0.043,1.300,0.100,4.920310630,0.000030820,0.05951,0.00177,571.6390,58.3921,57.888,0.23468
3342794,2278.01,1.780,0.164,2.503,0.273,14.172228580,0.000055550,0.12058,0.00332,139.9758,16.0658,57.888,0.72128
3342970,800.02,3.055,0.261,3.865,0.504,7.212037480,0.000015530,0.07482,0.00207,255.0686,35.8423,193.075,0.01112
3342970,800.01,2.877,0.234,3.546,0.499,2.711504086,0.000003800,0.03891,0.00104,930.6695,120.8934,193.075,0.02195
3345675,1772.01,22.504,1.254,17.185,1.506,120.003364040,0.000080320,0.47397,0.06307,0.5982,0.2110,210.234,0.42578
3346154,2723.01,2.642,0.434,2.694,0.477,1.952711161,0.000002256,0.02998,0.00084,879.8450,102.6900,96.911,0.96091
3348082,1196.02,1.688,0.105,2.217,0.266,11.634860090,0.000088750,0.10131,0.00275,129.3647,17.7608,140.971,0.05303
3348082,1196.03,2.059,0.361,2.679,0.544,33.198176100,0.000375800,0.20466,0.00585,31.2143,4.1993,140.971,0.86818
3348216,3448.01,1.917,0.159,2.541,0.303,32.510844000,0.000249800,0.20830,0.00595,44.0961,4.6408,130.434,0.19838
3351888,801.01,8.830,0.427,8.821,0.807,1.625522174,0.000000158,0.02582,0.00068,983.4773,99.4344,158.195,0.07532
3354846,2444.01,3.002,0.607,2.523,0.557,18.552516200,0.000137200,0.12620,0.00340,24.7718,2.4855,286.269,1.19506
3355104,4975.01,4.523,1.254,4.205,1.209,47.062897800,0.000214200,0.24244,0.00693,10.2198,1.2337,239.622,0.30743
3356156,4976.01,1.629,0.126,2.712,0.245,624.903380000,0.017890000,1.60245,0.04337,1.5700,0.1540,73.723,0.17972
3356193,6331.01,1.710,0.196,1.539,0.249,5.822981500,0.000100600,0.06020,0.00156,145.7049,22.6197,256.473,0.37545
3425363,4977.01,1.813,0.468,1.740,0.498,25.533853500,0.000404300,0.15328,0.00403,12.5558,0.9836,198.237,0.02955
3438507,1204.01,1.956,0.329,2.735,0.546,8.398429770,0.000056600,0.08443,0.00234,267.8429,39.4679,153.997,0.86118
3440118,3876.01,2.234,0.241,2.062,0.251,19.577832790,0.000036960,0.13784,0.00366,38.2812,3.3654,115.913,0.40040
3440978,2288.01,5.333,4010.095,4.421,3313.946,38.103908000,0.000225500,0.20421,0.00612,9.6238,0.8740,167.249,1.96409
3441795,4981.01,2.931,0.373,2.298,0.353,349.736520000,0.011620000,0.88498,0.02250,0.4367,0.0449,201.436,0.21165
3444588,1202.01,1.916,0.137,1.322,0.103,0.928310036,0.000002161,0.01627,0.00018,474.7399,31.3778,274.635,0.15403
3446746,385.01,1.840,0.176,1.639,0.192,13.144967410,0.000031180,0.10411,0.00268,55.8179,5.0064,60.993,0.65662
3447722,1198.02,1.686,0.182,2.323,0.354,10.300679190,0.000091600,0.09768,0.00285,222.5957,30.1234,170.429,0.00263
3447722,1198.03,2.332,0.334,3.305,0.563,35.675745300,0.000352900,0.22364,0.00564,41.3931,6.0380,170.429,0.69952
3447722,1198.01,2.558,0.531,3.710,0.825,16.088323180,0.000087790,0.13038,0.00368,120.1579,17.3288,170.429,0.76894
3448130,2043.01,2.548,0.114,3.132,0.262,78.546110600,0.000425000,0.36653,0.00906,10.0419,0.8716,105.743,0.04504
3450040,4205.01,0.974,0.062,1.025,0.093,1.166960319,0.000003625,0.02149,0.00051,2083.9384,178.0637,87.250,0.02635
3453214,802.01,14.906,0.865,13.236,1.198,19.620346923,0.000003730,0.13766,0.00399,33.6145,4.1396,259.856,0.19252
3458028,2276.01,1.306,0.057,2.511,0.217,1.442592305,0.000004874,0.02888,0.00075,8068.7676,686.6252,38.746,0.17978
3531558,118.01,1.792,0.158,2.537,0.288,24.993243190,0.000061270,0.17585,0.00455,64.8328,5.8619,33.318,0.75247
3541946,624.03,1.534,0.059,1.411,0.132,1.311842968,0.000002021,0.02259,0.00052,1348.5662,127.2535,86.121,0.11563
3541946,624.01,2.924,0.098,2.671,0.194,17.790016780,0.000032030,0.12905,0.00303,41.6705,3.9531,86.121,0.18234
3541946,624.02,3.094,0.275,2.725,0.348,49.567408500,0.000186700,0.25611,0.00703,10.7302,1.0519,86.121,0.99675
3544595,69.01,1.721,0.076,1.596,0.122,4.726740370,0.000001570,0.05356,0.00150,280.2268,24.4873,13.330,0.85554
3544640,3279.01,2.525,0.234,2.589,0.339,30.827824500,0.000315800,0.19005,0.00556,25.4055,3.9751,218.319,0.01393
3545135,2755.01,0.849,0.040,0.820,0.061,8.482992820,0.000039080,0.08063,0.00213,149.2602,13.6774,26.535,0.47205
